newsComments,newsDate,newsTitle,newsUrl
30,3 October 2020,It looks like Need for Speed: Hot Pursuit Remastered will be announced on Monday	,https://www.eurogamer.net/articles/2020-10-03-it-looks-like-need-for-speed-hot-pursuit-remastered-will-be-announced-on-monday
5,3 October 2020,Steve and Alex from Minecraft hit Super Smash Bros. Ultimate on 14th October	,https://www.eurogamer.net/articles/2020-10-03-steve-and-alex-from-minecraft-hit-super-smash-bros-ultimate-on-14th-october
20,27 September 2020,Animal Crossing: New Horizons is Tokyo Game Show's Game of the Year	,https://www.eurogamer.net/articles/2020-09-27-animal-crossing-new-horizons-is-tokyo-game-shows-game-of-the-year
37,28 September 2020,Transformers: Battlegrounds is XCOM in disguise	,https://www.eurogamer.net/articles/2020-09-28-transformers-battlegrounds-is-xcom-in-disguise
62,28 September 2020,Super Mario All-Stars physical copies outsold Avengers in September	,https://www.eurogamer.net/articles/2020-09-28-super-mario-all-stars-physical-copies-outsold-avengers-in-september
1,28 September 2020,Amazon Prime Day gaming deals 2020: date confirmed and offers to expect	,https://www.eurogamer.net/articles/best-amazon-prime-day-gaming-deals-6036
0,28 September 2020,"FIFA 21 best wingers - the best LW, best RW, and best LM and RMs in FIFA	",https://www.eurogamer.net/articles/fifa-20-best-wingers-lw-rw-lm-rm-7121
0,28 September 2020,FIFA 21 best strikers - the best ST and CFs in FIFA	,https://www.eurogamer.net/articles/fifa-21-best-strikers-st-cf-7121
5,3 October 2020,Minecraft's next big update Caves & Cliffs launches summer 2021	,https://www.eurogamer.net/articles/2020-10-03-minecrafts-next-big-update-caves-and-cliffs-launches-summer-2021
7,4 October 2020,The Dictionary of Imaginary Places complicates the idea of a fantasy location	,https://www.eurogamer.net/articles/2020-10-03-the-dictionary-of-imaginary-places-complicates-the-idea-of-a-fantasy-location
0,16 September 2020,Cat Mario and Cat Peach amiibo are now available to pre-order	,https://www.eurogamer.net/articles/cat-mario-amiibo-cat-peach-amiibo-pre-order
40,26 September 2020,FIFA pro says he won't buy FIFA Points for FIFA 21	,https://www.eurogamer.net/articles/2020-09-26-german-football-clubs-fifa-pro-says-he-wont-buy-fifa-points-for-fifa-21
22,12 August 2020,"Yes, Shin Megami Tensei 3: Nocturne HD Remaster features Dante from the Devil May Cry series	",https://www.eurogamer.net/articles/2020-08-12-featuring-dante-from-the-devil-may-cry-series-shin-megami-tensei-3-nocturne-hd-remaster
7,27 September 2020,Dynasty Warriors 9 Empires is out next year	,https://www.eurogamer.net/articles/2020-09-27-dynasty-warriors-9-empires-is-out-next-year
16,26 August 2020,Gamescom 2020 schedule guide: All gamescom conference dates and times explained	,https://www.eurogamer.net/articles/gamescom-2020-conferences-schedule-live-streams-6041
5,28 July 2020,"Animal Crossing gets fireworks, dreams, island backups in next update	",https://www.eurogamer.net/articles/2020-07-28-animal-crossing-gets-fireworks-dreams-island-backups-in-next-update
0,7 September 2020,Nintendo Switch Black Friday deals 2020: What to expect	,https://www.eurogamer.net/articles/nintendo-switch-black-friday-deals
2,25 August 2020,"Warframe's Heart of Deimos update is out today, adds hellish new open-world area	",https://www.eurogamer.net/articles/2020-08-25-warframes-heart-of-deimos-update-adds-hellish-new-open-world-area-and-is-out-today
34,16 September 2020,Nintendo Direct Mini: Partner Showcase announced for tomorrow	,https://www.eurogamer.net/articles/2020-09-16-nintendo-direct-mini-partner-showcase-announced-for-tomorrow
27,25 August 2020,Netflix's animated Dragon's Dogma series gets first trailer	,https://www.eurogamer.net/articles/2020-08-25-netflixs-animated-dragons-dogma-series-gets-its-first-trailer
38,26 August 2020,Someone should make a game about: wheelchair mobilisation	,https://www.eurogamer.net/articles/2020-08-26-someone-should-make-a-game-about-wheelchair-mobilisation
24,26 August 2020,Puyo Puyo Tetris 2 coming to Nintendo Switch this year	,https://www.eurogamer.net/articles/2020-08-26-puyo-puyo-tetris-2-coming-to-nintendo-switch-this-year
